country,cause,effect,p,q_BH,significant_FDR
Germany,GDP_Growth,Capital_Formation_lag1,0.0026916111800088,0.043631551907447,True
Germany,GDP_Growth,Inflation_lag1,0.0005998734399515,0.0176362791345741,True
Germany,GDP_Growth,Exchange_Rate_lag1,0.912070186325027,0.912070186325027,False
Germany,GDP_Growth,Government_Debt_lag1,0.0012419039726983,0.02808613599794617,True
Germany,GDP_Growth,Trade_Balance_lag1,0.2098308446139483,0.36080739764813924,False
Germany,GDP_Growth,Reserves_lag1,0.3529917084902644,0.4612424990939455,False
Germany,Capital_Formation_lag1,GDP_Growth,0.0061706054086077,0.06292619004166992,False
Germany,Capital_Formation_lag1,Inflation_lag1,0.3686125311730751,0.47324054220473394,False
Germany,Capital_Formation_lag1,Exchange_Rate_lag1,0.0371119374768628,0.14547879490930216,False
Germany,Capital_Formation_lag1,Government_Debt_lag1,0.2108137578158307,0.36080739764813924,False
Germany,Capital_Formation_lag1,Trade_Balance_lag1,0.0273472743916485,0.13073730238013742,False
Germany,Capital_Formation_lag1,Reserves_lag1,0.5624890045082143,0.6216983734038157,False
Germany,Inflation_lag1,GDP_Growth,0.0674081107392779,0.2070893665589151,False
Germany,Inflation_lag1,Capital_Formation_lag1,0.2651156168140305,0.40385487742655424,False
Germany,Inflation_lag1,Exchange_Rate_lag1,0.4528191854025161,0.541174148407885,False
Germany,Inflation_lag1,Government_Debt_lag1,0.1620395149555264,0.31712552786376874,False
Germany,Inflation_lag1,Trade_Balance_lag1,0.4472009884911051,0.5388286884593038,False
Germany,Inflation_lag1,Reserves_lag1,0.6257318517102385,0.6758884043429864,False
Germany,Exchange_Rate_lag1,GDP_Growth,0.3118959818055166,0.4325349936359522,False
Germany,Exchange_Rate_lag1,Capital_Formation_lag1,0.2478230724992154,0.3896255792233654,False
Germany,Exchange_Rate_lag1,Inflation_lag1,0.6138411365263304,0.6684047931064486,False
Germany,Exchange_Rate_lag1,Government_Debt_lag1,0.0349822921071249,0.1448562518238693,False
Germany,Exchange_Rate_lag1,Trade_Balance_lag1,0.4490239070494198,0.5388286884593038,False
Germany,Exchange_Rate_lag1,Reserves_lag1,0.3291206789122786,0.4448924391994287,False
Germany,Government_Debt_lag1,GDP_Growth,0.1374348327274032,0.29347181769908476,False
Germany,Government_Debt_lag1,Capital_Formation_lag1,0.6339643068151504,0.6802390737359643,False
Germany,Government_Debt_lag1,Inflation_lag1,0.115753671146021,0.2741059960823396,False
Germany,Government_Debt_lag1,Exchange_Rate_lag1,0.4390495102123443,0.5323187041000159,False
Germany,Government_Debt_lag1,Trade_Balance_lag1,0.1580030702659771,0.31176444737045145,False
Germany,Government_Debt_lag1,Reserves_lag1,0.6899072337343493,0.7269990204942605,False
Germany,Trade_Balance_lag1,GDP_Growth,0.7203920747169016,0.7510470566197485,False
Germany,Trade_Balance_lag1,Capital_Formation_lag1,0.1125280871808335,0.2689695742371142,False
Germany,Trade_Balance_lag1,Inflation_lag1,0.2464097986619962,0.3894864559496069,False
Germany,Trade_Balance_lag1,Exchange_Rate_lag1,0.0629660901714264,0.19905409150967057,False
Germany,Trade_Balance_lag1,Government_Debt_lag1,0.7741348630934338,0.7985812271911212,False
Germany,Trade_Balance_lag1,Reserves_lag1,0.0223691507638543,0.12647173701102238,False
Germany,Reserves_lag1,GDP_Growth,0.2002572737437709,0.3568220513979918,False
Germany,Reserves_lag1,Capital_Formation_lag1,0.0060213177449254,0.06292619004166992,False
Germany,Reserves_lag1,Inflation_lag1,0.3721065372768473,0.4744346293606121,False
Germany,Reserves_lag1,Exchange_Rate_lag1,0.0601099326383432,0.1963591132852545,False
Germany,Reserves_lag1,Government_Debt_lag1,0.8304615144264281,0.8477627959769787,False
Germany,Reserves_lag1,Trade_Balance_lag1,0.153161924718109,0.3042540936967841,False
Angola,GDP_Growth,Capital_Formation_lag1,0.0598676357407104,0.1963591132852545,False
Angola,GDP_Growth,Inflation_lag1,0.023879230307566,0.12907339777664228,False
Angola,GDP_Growth,Exchange_Rate_lag1,0.0109709398623363,0.08063640798817182,False
Angola,GDP_Growth,Government_Debt_lag1,0.0003052826003259,0.0128218692136878,True
Angola,GDP_Growth,Trade_Balance_lag1,0.0031165394219605,0.043631551907447,True
Angola,GDP_Growth,Reserves_lag1,0.032119780069832,0.13887081383133248,False
Angola,Capital_Formation_lag1,GDP_Growth,0.0460423005573785,0.1671164983193738,False
Angola,Capital_Formation_lag1,Inflation_lag1,0.1402834497715569,0.29347181769908476,False
Angola,Capital_Formation_lag1,Exchange_Rate_lag1,0.1006759324389359,0.2508366452292132,False
Angola,Capital_Formation_lag1,Government_Debt_lag1,0.3818681187490302,0.481842175588905,False
Angola,Capital_Formation_lag1,Trade_Balance_lag1,0.3727700659261952,0.4744346293606121,False
Angola,Capital_Formation_lag1,Reserves_lag1,0.4825755303172365,0.5585716768238879,False
Angola,Inflation_lag1,GDP_Growth,0.0281539132731922,0.13138492860823028,False
Angola,Inflation_lag1,Capital_Formation_lag1,0.2337707908498914,0.37556618857851404,False
Angola,Inflation_lag1,Exchange_Rate_lag1,0.034091719727873,0.14318522285706659,False
Angola,Inflation_lag1,Government_Debt_lag1,0.0726085437915746,0.2093884510338479,False
Angola,Inflation_lag1,Trade_Balance_lag1,0.5236245362109684,0.5920985140231719,False
Angola,Inflation_lag1,Reserves_lag1,0.000147285402894,0.0086603816901672,True
Angola,Exchange_Rate_lag1,GDP_Growth,0.0359904680199496,0.14547879490930216,False
Angola,Exchange_Rate_lag1,Capital_Formation_lag1,0.1639560552220845,0.31712552786376874,False
Angola,Exchange_Rate_lag1,Inflation_lag1,0.0272067256480922,0.13073730238013742,False
Angola,Exchange_Rate_lag1,Government_Debt_lag1,0.3624628926172891,0.46738636153282015,False
Angola,Exchange_Rate_lag1,Trade_Balance_lag1,0.1506156657429304,0.3013113830439412,False
Angola,Exchange_Rate_lag1,Reserves_lag1,0.3079231226899026,0.4310923717658636,False
Angola,Government_Debt_lag1,GDP_Growth,0.0029592478115359,0.043631551907447,True
Angola,Government_Debt_lag1,Capital_Formation_lag1,0.187298052220259,0.351941502104864,False
Angola,Government_Debt_lag1,Inflation_lag1,0.0336924174395149,0.14318522285706659,False
Angola,Government_Debt_lag1,Exchange_Rate_lag1,0.000249746173054,0.012237562479646002,True
Angola,Government_Debt_lag1,Trade_Balance_lag1,0.5053944131890376,0.5804138963967853,False
Angola,Government_Debt_lag1,Reserves_lag1,0.0043174197754002,0.0540134270602311,False
Angola,Trade_Balance_lag1,GDP_Growth,0.1187457875270162,0.2741059960823396,False
Angola,Trade_Balance_lag1,Capital_Formation_lag1,0.7268363071079672,0.7550878950167574,False
Angola,Trade_Balance_lag1,Inflation_lag1,0.0214696781095458,0.12376637969032284,False
Angola,Trade_Balance_lag1,Exchange_Rate_lag1,0.0312093209136091,0.13694836341195635,False
Angola,Trade_Balance_lag1,Government_Debt_lag1,0.4657734761073904,0.5521669434498903,False
Angola,Trade_Balance_lag1,Reserves_lag1,0.1407466880801733,0.29347181769908476,False
Angola,Reserves_lag1,GDP_Growth,0.0011660516566168,0.02808613599794617,True
Angola,Reserves_lag1,Capital_Formation_lag1,0.6089676063719319,0.665563108822855,False
Angola,Reserves_lag1,Inflation_lag1,0.0267905814592415,0.13073730238013742,False
Angola,Reserves_lag1,Exchange_Rate_lag1,0.0142486431759223,0.09309113541602569,False
Angola,Reserves_lag1,Government_Debt_lag1,0.0244078631236804,0.12907339777664228,False
Angola,Reserves_lag1,Trade_Balance_lag1,0.0690297888529717,0.2070893665589151,False
Ghana,GDP_Growth,Capital_Formation_lag1,0.2629529953449174,0.4033010926620204,False
Ghana,GDP_Growth,Inflation_lag1,0.0813642639491837,0.21945957432165145,False
Ghana,GDP_Growth,Exchange_Rate_lag1,0.1952210072203529,0.35212101810309515,False
Ghana,GDP_Growth,Government_Debt_lag1,0.2898036969838943,0.42179349957061846,False
Ghana,GDP_Growth,Trade_Balance_lag1,0.0812954025034451,0.21945957432165145,False
Ghana,GDP_Growth,Reserves_lag1,0.3213242950011439,0.44144552677727245,False
Ghana,Capital_Formation_lag1,GDP_Growth,0.0726677961010938,0.2093884510338479,False
Ghana,Capital_Formation_lag1,Inflation_lag1,0.1501381888239269,0.3013113830439412,False
Ghana,Capital_Formation_lag1,Exchange_Rate_lag1,0.1472163904056047,0.3013113830439412,False
Ghana,Capital_Formation_lag1,Government_Debt_lag1,0.0023708524001338,0.041001800331725714,True
Ghana,Capital_Formation_lag1,Trade_Balance_lag1,0.1338856392345212,0.29347181769908476,False
Ghana,Capital_Formation_lag1,Reserves_lag1,0.2735283981142565,0.40932006564451345,False
Ghana,Inflation_lag1,GDP_Growth,0.3347904332619126,0.44593629748762603,False
Ghana,Inflation_lag1,Capital_Formation_lag1,0.8792812283255473,0.882282188149184,False
Ghana,Inflation_lag1,Exchange_Rate_lag1,0.0512154590060677,0.1814137945516133,False
Ghana,Inflation_lag1,Government_Debt_lag1,0.0393044743985461,0.14836923010197045,False
Ghana,Inflation_lag1,Trade_Balance_lag1,0.0476221930759054,0.17074298493068524,False
Ghana,Inflation_lag1,Reserves_lag1,0.331399470015901,0.4448924391994287,False
Ghana,Exchange_Rate_lag1,GDP_Growth,0.1058028668206277,0.2570747342583847,False
Ghana,Exchange_Rate_lag1,Capital_Formation_lag1,0.0064210398001704,0.06292619004166992,False
Ghana,Exchange_Rate_lag1,Inflation_lag1,0.4726070726636251,0.5557859174524232,False
Ghana,Exchange_Rate_lag1,Government_Debt_lag1,0.0044092593518556,0.0540134270602311,False
Ghana,Exchange_Rate_lag1,Trade_Balance_lag1,0.1278427136693672,0.28691418182285466,False
Ghana,Exchange_Rate_lag1,Reserves_lag1,0.463623802055744,0.5518437158072419,False
Ghana,Government_Debt_lag1,GDP_Growth,0.0193816161684381,0.11396390307041603,False
Ghana,Government_Debt_lag1,Capital_Formation_lag1,0.1630274087785302,0.31712552786376874,False
Ghana,Government_Debt_lag1,Inflation_lag1,0.0828285483543914,0.22137812014719155,False
Ghana,Government_Debt_lag1,Exchange_Rate_lag1,0.1243760648869622,0.2822644762657355,False
Ghana,Government_Debt_lag1,Trade_Balance_lag1,0.0116076431533347,0.08323529480683907,False
Ghana,Government_Debt_lag1,Reserves_lag1,0.2748541048732227,0.40932006564451345,False
Ghana,Trade_Balance_lag1,GDP_Growth,0.1304399614485358,0.29052536868082973,False
Ghana,Trade_Balance_lag1,Capital_Formation_lag1,0.3111268709721242,0.4325349936359522,False
Ghana,Trade_Balance_lag1,Inflation_lag1,0.2633803054119317,0.4033010926620204,False
Ghana,Trade_Balance_lag1,Exchange_Rate_lag1,0.0688294716569238,0.2070893665589151,False
Ghana,Trade_Balance_lag1,Government_Debt_lag1,0.0952675432278667,0.24766033823741287,False
Ghana,Trade_Balance_lag1,Reserves_lag1,0.1921376966706534,0.35212101810309515,False
Ghana,Reserves_lag1,GDP_Growth,0.3246885160851371,0.44193714689365887,False
Ghana,Reserves_lag1,Capital_Formation_lag1,0.1348584634870513,0.29347181769908476,False
Ghana,Reserves_lag1,Inflation_lag1,0.3802972280788034,0.481842175588905,False
Ghana,Reserves_lag1,Exchange_Rate_lag1,0.221900121800718,0.37009293915803876,False
Ghana,Reserves_lag1,Government_Debt_lag1,0.0123057000532504,0.08413664687571204,False
Ghana,Reserves_lag1,Trade_Balance_lag1,0.0740693840391843,0.2093884510338479,False
Morocco,GDP_Growth,Capital_Formation_lag1,0.2303191384159876,0.37518666026527203,False
Morocco,GDP_Growth,Inflation_lag1,0.8366133716034427,0.8510876513889695,False
Morocco,GDP_Growth,Exchange_Rate_lag1,0.2205672004703034,0.37009293915803876,False
Morocco,GDP_Growth,Government_Debt_lag1,9.064203799216144e-06,0.000888291972323182,True
Morocco,GDP_Growth,Trade_Balance_lag1,0.4794097401250158,0.5571006466274887,False
Morocco,GDP_Growth,Reserves_lag1,0.0667695651216918,0.2070893665589151,False
Morocco,Capital_Formation_lag1,GDP_Growth,0.0964704458399436,0.24766033823741287,False
Morocco,Capital_Formation_lag1,Inflation_lag1,0.3591911927367875,0.4652079764961036,False
Morocco,Capital_Formation_lag1,Exchange_Rate_lag1,0.1937450991831397,0.35212101810309515,False
Morocco,Capital_Formation_lag1,Government_Debt_lag1,0.0153965777248897,0.09430403856494941,False
Morocco,Capital_Formation_lag1,Trade_Balance_lag1,7.339649238764577e-05,0.005394642190491964,True
Morocco,Capital_Formation_lag1,Reserves_lag1,0.0569487026605961,0.19244734002546268,False
Morocco,Inflation_lag1,GDP_Growth,0.8543075868329174,0.8631148815425351,False
Morocco,Inflation_lag1,Capital_Formation_lag1,0.4771681401856188,0.5566961635498886,False
Morocco,Inflation_lag1,Exchange_Rate_lag1,0.2107400422774969,0.36080739764813924,False
Morocco,Inflation_lag1,Government_Debt_lag1,0.0378740756643056,0.14651287164876112,False
Morocco,Inflation_lag1,Trade_Balance_lag1,0.2871153452326322,0.42179349957061846,False
Morocco,Inflation_lag1,Reserves_lag1,0.5441684532730493,0.6106317758102157,False
Morocco,Exchange_Rate_lag1,GDP_Growth,0.7991373165749656,0.8186284706377696,False
